date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:35	31/31	---M--	200	added ('OK')	text/plain	date:Sun,%2024%20Mar%202019%2007:00:10%20GMT	https://pxltheme.com/robots.txt		(from )
22:36:36	12370/12370	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Feb%202020%2014:16:28%20GMT	https://pxltheme.com/html/bolby/landing/	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/index.html	(from )
22:36:39	7244/7244	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2013:51:34%20GMT	https://pxltheme.com/html/bolby/landing/images/favicon.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/favicon.png	(from https://pxltheme.com/html/bolby/landing/)
22:36:46	153182/153182	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Dec%202018%2002:47:12%20GMT	https://pxltheme.com/html/bolby/landing/css/bootstrap.min.css	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/css/bootstrap.min.css	(from https://pxltheme.com/html/bolby/landing/)
22:36:47	51215/51215	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Nov%202018%2006:49:32%20GMT	https://pxltheme.com/html/bolby/landing/css/all.min.css	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/css/all.min.css	(from https://pxltheme.com/html/bolby/landing/)
22:36:48	12958/12958	---M--	200	added ('OK')	text/css	date:Sun,%2008%20Jan%202017%2013:33:10%20GMT	https://pxltheme.com/html/bolby/landing/css/simple-line-icons.css	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/css/simple-line-icons.css	(from https://pxltheme.com/html/bolby/landing/)
22:36:51	4909/4909	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Jun%202016%2003:46:18%20GMT	https://pxltheme.com/html/bolby/landing/css/slick.css	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/css/slick.css	(from https://pxltheme.com/html/bolby/landing/)
22:36:55	77907/77907	---M--	200	added ('OK')	text/css	date:Sun,%2009%20Feb%202020%2011:43:58%20GMT	https://pxltheme.com/html/bolby/landing/css/animate.css	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/css/animate.css	(from https://pxltheme.com/html/bolby/landing/)
22:36:58	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202017%2008:11:48%20GMT	https://pxltheme.com/html/bolby/landing/css/magnific-popup.css	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/css/magnific-popup.css	(from https://pxltheme.com/html/bolby/landing/)
22:37:12	50844/50844	---M--	200	added ('OK')	text/css	date:Sat,%2015%20Feb%202020%2014:06:09%20GMT	https://pxltheme.com/html/bolby/landing/css/style.css	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/css/style.css	(from https://pxltheme.com/html/bolby/landing/)
22:37:13	116827/116827	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:12:18%20GMT	https://pxltheme.com/html/bolby/landing/images/1-1-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/1-1-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:15	126721/126721	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:15:18%20GMT	https://pxltheme.com/html/bolby/landing/images/1-2-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/1-2-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:16	116032/116032	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:15:21%20GMT	https://pxltheme.com/html/bolby/landing/images/1-3-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/1-3-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:18	112401/112401	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:15:26%20GMT	https://pxltheme.com/html/bolby/landing/images/2-1-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/2-1-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:20	129432/129432	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:15:29%20GMT	https://pxltheme.com/html/bolby/landing/images/2-2-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/2-2-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:21	113836/113836	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:16:01%20GMT	https://pxltheme.com/html/bolby/landing/images/2-3-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/2-3-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:23	114617/114617	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:16:05%20GMT	https://pxltheme.com/html/bolby/landing/images/3-1-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/3-1-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:24	125151/125151	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:16:11%20GMT	https://pxltheme.com/html/bolby/landing/images/3-2-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/3-2-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:26	114245/114245	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Feb%202020%2014:16:15%20GMT	https://pxltheme.com/html/bolby/landing/images/3-3-min.png	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/3-3-min.png	(from https://pxltheme.com/html/bolby/landing/)
22:37:26	891/891	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2015%20Feb%202020%2013:56:36%20GMT	https://pxltheme.com/html/bolby/landing/images/envato.svg	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/images/envato.svg	(from https://pxltheme.com/html/bolby/landing/)
22:37:31	97180/97180	---M--	200	added ('OK')	application/javascript	date:Thu,%2002%20Jun%202016%2002:39:23%20GMT	https://pxltheme.com/html/bolby/landing/js/jquery-1.12.3.min.js	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/js/jquery-1.12.3.min.js	(from https://pxltheme.com/html/bolby/landing/)
22:37:31	3601/3601	---M--	200	added ('OK')	application/javascript	date:Sat,%2012%20Jan%202019%2010:28:55%20GMT	https://pxltheme.com/html/bolby/landing/js/jquery.easing.min.js	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/js/jquery.easing.min.js	(from https://pxltheme.com/html/bolby/landing/)
22:37:34	9028/9028	---M--	200	added ('OK')	application/javascript	date:Sat,%2012%20Jan%202019%2010:41:09%20GMT	https://pxltheme.com/html/bolby/landing/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/Bolby%20-%20portfolio/pxltheme.com/html/bolby/landing/js/jquery.waypoints.min.js	(from https://pxltheme.com/html/bolby/landing/)
